Goal,Days,Gender,Age Group,Plan,Suggestions
"Build Muscle",1,"Male","Young Adult","Day 1: Squats (4 sets, 8-12 reps, 2 min rest), Bench Press (4 sets, 8-12 reps, 2 min rest), Bent-over Rows (3 sets, 10-12 reps, 90 sec rest), Overhead Press (3 sets, 10-12 reps, 90 sec rest), Barbell Curls (3 sets, 12-15 reps, 60 sec rest).","Focus on form to maximize muscle activation. Consume 1.8-2.2g protein per kg body weight. Use a spotter for heavy lifts. Include 10 min dynamic stretching before and static stretching after."
"Build Muscle",1,"Male","Adult","Day 1: Squats (4 sets, 8-12 reps, 2 min rest), Bench Press (3 sets, 10-12 reps, 90 sec rest), Seated Rows (3 sets, 10-12 reps, 90 sec rest), Dumbbell Shoulder Press (3 sets, 10-12 reps, 90 sec rest).","Prioritize form to prevent injury. Consume 1.6-2.0g protein per kg body weight. Use a lifting belt for squats. Include 5 min core work post-workout."
"Build Muscle",1,"Male","Senior","Day 1: Machine Leg Press (3 sets, 10-12 reps, 90 sec rest), Machine Chest Press (3 sets, 10-12 reps, 90 sec rest), Seated Rows (3 sets, 10-12 reps, 90 sec rest), Plank (3 sets, 30-45 sec, 60 sec rest).","Use machines for joint safety. Consume 1.6g protein per kg body weight. Focus on controlled movements. Include 10 min stretching daily."
"Build Muscle",1,"Female","Young Adult","Day 1: Squats (4 sets, 8-12 reps, 2 min rest), Dumbbell Bench Press (3 sets, 10-12 reps, 90 sec rest), Bent-over Rows (3 sets, 10-12 reps, 90 sec rest), Hip Thrusts (3 sets, 12-15 reps, 90 sec rest).","Emphasize glutes and core. Consume 1.8-2.2g protein per kg body weight. Track lifts for progressive overload. Include 10 min mobility work."
"Build Muscle",1,"Female","Adult","Day 1: Squats (3 sets, 10-12 reps, 90 sec rest), Dumbbell Chest Press (3 sets, 10-12 reps, 90 sec rest), Seated Rows (3 sets, 10-12 reps, 90 sec rest), Plank (3 sets, 45 sec, 60 sec rest).","Focus on form and recovery. Consume 1.6-2.0g protein per kg body weight. Use lighter weights with higher reps if needed. Include 5 min core work."
"Build Muscle",1,"Female","Senior","Day 1: Machine Leg Press (3 sets, 10-12 reps, 90 sec rest), Machine Chest Press (3 sets, 10-12 reps, 90 sec rest), Seated Cable Rows (3 sets, 10-12 reps, 90 sec rest), Side Plank (3 sets, 20-30 sec per side, 60 sec rest).","Use machines for stability. Consume 1.6g protein per kg body weight. Focus on mobility and balance. Include 10 min stretching daily."
"Build Muscle",2,"Male","Young Adult","Day 1: Squats (4 sets, 8-12 reps, 2 min rest), Leg Press (3 sets, 10-12 reps, 90 sec rest), Calf Raises (3 sets, 15-20 reps, 60 sec rest), Leg Curls (3 sets, 12-15 reps, 90 sec rest). Day 2: Bench Press (4 sets, 8-12 reps, 2 min rest), Incline Dumbbell Flyes (3 sets, 10-12 reps, 90 sec rest), Tricep Dips (3 sets, 12-15 reps, 60 sec rest), Lateral Raises (3 sets, 12-15 reps, 60 sec rest).","Increase weight progressively. Consume 1.8-2.2g protein per kg body weight. Foam roll for 5-10 min post-workout to aid recovery."
"Build Muscle",2,"Male","Adult","Day 1: Squats (3 sets, 10-12 reps, 90 sec rest), Leg Extensions (3 sets, 12-15 reps, 90 sec rest), Calf Raises (3 sets, 15-20 reps, 60 sec rest). Day 2: Bench Press (3 sets, 10-12 reps, 90 sec rest), Incline Dumbbell Press (3 sets, 10-12 reps, 90 sec rest), Tricep Pushdowns (3 sets, 12-15 reps, 60 sec rest).","Focus on progressive overload. Consume 1.6-2.0g protein per kg body weight. Use a spotter for bench press. Include 5 min mobility work."
"Build Muscle",2,"Male","Senior","Day 1: Machine Leg Press (3 sets, 10-12 reps, 90 sec rest), Leg Extensions (3 sets, 10-12 reps, 90 sec rest), Seated Calf Raises (3 sets, 12-15 reps, 60 sec rest). Day 2: Machine Chest Press (3 sets, 10-12 reps, 90 sec rest), Dumbbell Flyes (3 sets, 10-12 reps, 90 sec rest), Tricep Pushdowns (3 sets, 10-12 reps, 60 sec rest).","Use machines to reduce joint stress. consume 1.6g protein per kg body weight. Include 10 min stretching daily for flexibility."
"Build Muscle",2,"Female","Young Adult","Day 1: Squats (4 sets, 8-12 reps, 2 min rest), Hip Thrusts (3 sets, 12-15 reps, 90 sec rest), Calf Raises (3 sets, 15-20 reps, 60 sec rest), Leg Curls (3 sets, 12-15 reps, 90 sec rest). Day 2: Dumbbell Bench Press (3 sets, 10-12 reps, 90 sec rest), Incline Dumbbell Flyes (3 sets, 10-12 reps, 90 sec rest), Tricep Pushdowns (3 sets, 12-15 reps, 60 sec rest), Plank (3 sets, 60 sec, 60 sec rest).","Focus on glutes and core. Consume 1.8-2.2g protein per kg body weight. Track lifts for progressive overload. Include 10 min mobility work."
